Reference_Article	Code_Barre	Type_Article	Nom_Article	Dominant	Saison	Genre	Famille	Couleur	Marque	Nom_Fournisseur	Description	Declinaison	TauxTaxe_TVA	PrixVente_TTC	DateApplication_PrixVente	QteEnStock
5012202322007	5012203523069	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13L/NAVY	Modèle=Stars Lovers:Taille=L:Couleur_Texture=NAVY:Extras=Maille piquée	16	13500	01/04/15	10
5012202322007	5012203324048	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13XL/DEEP HEATHER	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=DEEP HEATHER:Extras=Ouverture zippée	16	13200	01/04/15	10
5012202322007	5012203424045	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13XL/DEEP HEATHER	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=DEEP HEATHER:Extras=Ouverture boutons	16	12700	01/04/15	10
5012202322007	5012203524042	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13XL/DEEP HEATHER	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=DEEP HEATHER:Extras=Maille piquée	16	13700	01/04/15	10
5012202322007	5012203324055	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13XL/BROWN	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=BROWN:Extras=Ouverture zippée	16	13200	01/04/15	10
5012202322007	5012203424052	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13XL/BROWN	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=BROWN:Extras=Ouverture boutons	16	12700	01/04/15	10
5012202322007	5012203524059	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13XL/BROWN	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=BROWN:Extras=Maille piquée	16	13700	01/04/15	10
5012202322007	5012203324062	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture zippéeKin_13Pure SoieKin_13XL/NAVY	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=NAVY:Extras=Ouverture zippée	16	13200	01/04/15	10
5012202322007	5012203424069	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Ouverture boutonsKin_13Pure SoieKin_13XL/NAVY	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=NAVY:Extras=Ouverture boutons	16	12700	01/04/15	10
5012202322007	5012203524066	Homme	Chemise pure soie	Chemise	Stand'Up	Homme			MUTINY TAHITI	KOKOLO	Collection "Stand'Up" – Stars LoversKin_13Chemise Homme Coupe droite Manches courtes - Maille piquéeKin_13Pure SoieKin_13XL/NAVY	Modèle=Stars Lovers:Taille=XL:Couleur_Texture=NAVY:Extras=Maille piquée	16	13700	01/04/15	10
